,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,代毅,2018-06-05,无,"代毅先生:研究生,硕士,中国国籍。2010年7月加入长盛基金管理有限公司研究部,曾任行业研究员、基金经理助理等职务。现任长盛城镇化主题混合型证券投资基金基金经理,长盛生态环境主题灵活配置混合型证券投资基金基金经理。2020年4月21日担任长盛动态精选证券投资基金基金经理。2020年4月21日起担任长盛国企改革主题灵活配置混合型证券投资基金基金经理。2019年05月22日至2020年05月27日任长盛同盛成长优选灵活配置混合型证券投资基金(LOF)基金经理。",长盛国企改革混合,001239,混合型,2020-04-21,至今,173天,26.62%,26.12%,1711|3285
1,,,,,长盛动态精选混合,510081,混合型,2020-04-21,至今,173天,30.17%,26.12%,1411|3285
2,,,,,长盛同盛成长优选(LOF),160813,混合型,2019-05-22,2020-05-27,1年又6天,16.46%,26.50%,1700|2931
3,,,,,长盛生态环境混合,000598,混合型,2018-09-14,至今,2年又28天,53.46%,66.65%,1505|2737
4,,,,,长盛城镇化主题混合,000354,混合型,2018-06-05,至今,2年又129天,32.70%,48.69%,1533|2519
