,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,张雪,2014-12-09,无,"张雪女士:中央财经大学国际金融学硕士,美国特许金融分析师(CFA)。曾任职于北京银行股份有限公司资金交易部,历任交易员、投资经理。2014年11月加入摩根士丹利华鑫基金管理有限公司,2014年12月起任摩根士丹利华鑫强收益债券型证券投资基金、摩根士丹利华鑫双利增强债券型证券投资基金基金经理,2015年2月至2017年1月任摩根士丹利华鑫优质信价纯债债券型证券投资基金基金经理,2016年3月起任摩根士丹利华鑫纯债稳定增值18个月定期开放债券型证券投资基金基金经理,2016年9月至2018年4月任摩根士丹利华鑫多元兴利18个月定期开放债券型证券投资基金基金经理。",大摩灵动优选债券,009752,债券型,2020-09-18,至今,23天,-0.10%,0.08%,2142|2514
1,,,,,大摩多元兴利18个月定开债,003094,定开债券,2016-09-22,2018-04-16,1年又206天,4.01%,1.63%,29|122
2,,,,,大摩增值18个月开放债券A,001859,定开债券,2016-03-02,至今,4年又224天,24.26%,19.49%,14|74
3,,,,,大摩增值18个月开放债券C,001860,定开债券,2016-03-02,至今,4年又224天,21.89%,19.49%,24|74
4,,,,,大摩优质信价纯债A,000419,债券型,2015-02-17,2017-01-17,1年又335天,12.88%,8.76%,165|572
5,,,,,大摩优质信价纯债C,000420,债券型,2015-02-17,2017-01-17,1年又335天,12.40%,8.76%,181|572
6,,,,,大摩双利增强债券A,000024,债券型,2014-12-09,至今,5年又308天,40.04%,35.89%,152|477
7,,,,,大摩双利增强债券C,000025,债券型,2014-12-09,至今,5年又308天,38.21%,35.89%,178|477
8,,,,,大摩强收益债券,233005,债券型,2014-12-09,至今,5年又308天,46.04%,35.89%,96|477
