,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,钱亚风云,2015-07-27,无,"钱亚风云(QIAN Yafengyun)先生:中国,金融学硕士。2010年加入中银基金管理有限公司,曾任研究员、基金经理助理。2016-02-04至2018-02-09任中银宝利灵活配置混合型证券投资基金基金经理,2015-11-19至2018-02-09任中银新财富灵活配置混合型证券投资基金基金经理,2017-04-10至2018-12-29任中银文体娱乐灵活配置混合型证券投资基金基金经理,2015-7-27起任中银消费主题混合型证券投资基金基金经理,2015-11-26起任中银战略新兴产业股票型证券投资基金基金经理,2019-06-14起任中银消费活力混合型证券投资基金基金经理。",中银持续增长混合A,163803,混合型,2019-09-18,至今,1年又24天,51.33%,39.26%,967|3014
1,,,,,中银消费活力混合,007334,混合型,2019-06-14,2020-02-25,256天,16.01%,31.15%,1991|3046
2,,,,,中银文体娱乐混合,004396,混合型,2017-04-10,2018-11-08,1年又212天,-16.77%,-5.38%,1578|2026
3,,,,,中银宝利混合A,002261,混合型,2016-02-04,2018-02-09,2年又6天,11.67%,12.22%,597|1386
4,,,,,中银宝利混合C,002262,混合型,2016-02-04,2018-02-09,2年又6天,10.61%,12.22%,659|1386
5,,,,,中银战略新兴产业股票,001677,股票型,2015-11-26,至今,4年又321天,129.70%,39.36%,24|511
6,,,,,中银新财富混合A,002054,混合型,2015-11-19,2018-02-09,2年又83天,10.20%,-1.50%,310|1234
7,,,,,中银新财富混合C,002056,混合型,2015-11-19,2018-02-09,2年又83天,9.47%,-1.50%,342|1234
8,,,,,中银消费主题混合,000057,混合型,2015-07-27,至今,5年又78天,22.03%,63.65%,877|1046
