,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,奚鹏洲,2013-11-07,无,"奚鹏洲(XI Pengzhou)先生:中银基金管理有限公司固定收益投资部总经理,董事总经理(MD),理学硕士。曾任中国银行总行全球金融市场部债券高级交易员。2009年加入中银基金管理有限公司,2010年5月至2011年9月任中银货币基金基金经理,2010年6月至今任中银增利基金基金经理,2010年11月至今任中银双利基金基金经理,2012年3月至今任中银信用增利基金基金经理,2013年9月至今任中银互利分级债券基金基金经理,2013年11月至今任中银惠利纯债基金基金经理。具备基金从业资格。",中银惠利半年定开债,000372,定开债券,2013-11-07,至今,6年又340天,48.40%,50.52%,21|38
1,,,,,中银互利分级债券B,150156,分级杠杆,2013-09-24,2017-11-08,4年又46天,44.03%,18.80%,3|8
2,,,,,中银互利半年定开债,163825,定开债券,2013-09-24,至今,7年又19天,67.63%,49.96%,3|34
3,,,,,中银互利分级债券A,163826,固定收益,2013-09-24,2017-11-08,4年又46天,17.75%,18.80%,5|8
4,,,,,中银信用增利债券(LOF),163819,债券型,2012-03-12,至今,8年又215天,73.19%,73.38%,94|214
5,,,,,中银双利债券A,163811,债券型,2010-11-24,至今,9年又324天,82.00%,70.09%,33|136
6,,,,,中银双利债券B,163812,债券型,2010-11-24,至今,9年又324天,75.62%,70.09%,45|136
7,,,,,中银增利债券,163806,债券型,2010-06-02,至今,10年又134天,74.58%,76.12%,50|115
8,,,,,中银货币A,163802,货币型,2010-05-19,2011-09-01,1年又105天,3.93%,3.46%,8|64
