,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,柳世庆,2017-03-31,无,"柳世庆先生:硕士,北京大学金融学硕士,曾就职于安信证券,北京鸿道投资,担任宏观、金融及地产研究员。2013年加入民生加银基金管理有限公司。曾任地产及家电行业研究员、基金经理助理,现担任基金经理。自2016年8月至今担任民生加银新战略灵活配置混合型证券投资基金基金经理;自2016年11月至今担任民生加银内需增长混合型证券投资基金基金经理;自2017年3月至今担任民生加银城镇化灵活配置混合型证券投资基金基金经理;自2016年8月至2018年4月担任民生加银鑫瑞债券型证券投资基金基金经理。",民生加银城镇化混合C,009706,混合型,2020-09-10,至今,31天,4.85%,3.72%,1179|3685
1,,,,,民生加银持续成长混合A,007731,混合型,2019-09-24,至今,1年又18天,55.79%,38.24%,734|3026
2,,,,,民生加银持续成长混合C,007732,混合型,2019-09-24,至今,1年又18天,55.15%,38.24%,754|3026
3,,,,,民生加银城镇化混合A,000408,混合型,2017-03-31,至今,3年又195天,125.33%,60.32%,160|2061
4,,,,,民生加银内需增长混合,690005,混合型,2016-11-24,至今,3年又322天,154.19%,61.04%,55|1693
5,,,,,民生加银新战略混合,001352,混合型,2016-08-02,至今,4年又71天,59.90%,67.25%,710|1529
6,,,,,民生加银鑫瑞债券A,002887,债券型,2016-08-02,2018-03-01,1年又211天,6.34%,1.89%,53|725
7,,,,,民生加银鑫瑞债券C,002888,债券型,2016-08-02,2018-03-01,1年又211天,5.25%,1.89%,93|725
