,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,严菲,2016-01-20,无,"严菲(YAN Fei)女士,中银基金管理有限公司副总裁(VP),金融学硕士。曾任融通基金管理有限公司基金经理。2015年加入中银基金管理有限公司。2016年1月至今任中银美丽中国基金基金经理,2017年5月至今任中银新蓝筹基金基金经理。具有多年证券从业。具备基金从业资格。2020年3月30日任职中银宏观策略灵活配置混合型证券投资基金基金经理。2020年3月30日任职中银健康生活混合型证券投资基金基金经理。",中银健康生活混合,000591,混合型,2020-03-30,至今,195天,33.65%,32.31%,1628|3232
1,,,,,中银宏观策略混合,001127,混合型,2020-03-30,至今,195天,43.20%,32.31%,997|3232
2,,,,,中银改革红利灵活配置混合,005545,混合型,2018-02-13,至今,2年又241天,94.37%,51.78%,298|2328
3,,,,,中银新蓝筹混合,002694,混合型,2017-05-15,至今,3年又150天,49.10%,63.60%,1052|1993
4,,,,,中银美丽中国混合,000120,混合型,2016-01-20,至今,4年又266天,75.53%,75.03%,538|1265
5,,,,,融通行业景气混合A,161606,混合型,2012-01-12,2015-06-19,3年又159天,86.95%,149.22%,407|462
6,,,,,融通蓝筹成长混合,161605,混合型,2007-03-02,2015-06-19,8年又111天,143.16%,192.19%,117|172
