,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,龙昌伦,2018-09-12,无,"龙昌伦先生:硕士,曾任职于建信基金管理有限责任公司投资管理部,从事量化研究工作。2015年4月加入嘉实基金管理有限公司,现任职于股票投资部。2017年6月22日至今任嘉实腾讯自选股大数据策略股票型证券投资基金基金经理、2017年6月22日至2020年5月14日任嘉实对冲套利定期开放混合型发起式证券投资基金基金经理、2018年9月12日至今任嘉实沪深300指数研究增强型证券投资基金基金经理、2019年5月6日至今任嘉实长青竞争优势股票型证券投资基金基金经理。2020年1月20日任职嘉实中证500指数增强型证券投资基金基金经理。",嘉实中证500指数增强A,008778,股票指数,2020-01-20,至今,265天,27.02%,22.65%,441|1370
1,,,,,嘉实中证500指数增强C,008779,股票指数,2020-01-20,至今,265天,26.66%,22.65%,457|1370
2,,,,,嘉实长青竞争优势股票A,007133,股票型,2019-05-06,至今,1年又159天,40.70%,52.02%,658|1125
3,,,,,嘉实长青竞争优势股票C,007134,股票型,2019-05-06,至今,1年又159天,39.41%,52.02%,688|1125
4,,,,,嘉实沪深300指数研究增强,000176,股票指数,2018-09-12,至今,2年又30天,61.30%,70.02%,518|956
5,,,,,嘉实对冲套利定期混合,000585,混合型,2017-06-22,2020-05-14,2年又327天,8.48%,31.35%,1771|2051
6,,,,,嘉实腾讯自选股大数据策略股票,001637,股票型,2017-06-22,至今,3年又112天,51.86%,51.77%,283|700
