,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,陈媛,2018-02-26,无,"陈媛女士:中国国籍,硕士研究生。上海交通大学应届毕业加入华安基金,历任投资研究部研究员、基金投资部基金经理助理。2018年2月起,担任华安生态优先混合型证券投资基金的基金经理。2018年6月至2019年8月担任华安行业轮动股票型证券投资基金的基金经理。2018年11月起,同时担任华安宝利配置证券投资基金的基金经理。2020年2月27日任职华安优质生活混合型证券投资基金基金经理。",华安优质生活混合,008133,混合型,2020-02-27,至今,227天,33.49%,20.99%,628|3195
1,,,,,华安宝利配置混合,040004,混合型,2018-11-12,至今,1年又334天,108.60%,69.67%,551|2667
2,,,,,华安行业轮动混合,040016,混合型,2018-06-11,2019-08-30,1年又80天,19.78%,5.65%,202|2562
3,,,,,华安生态优先混合,000294,混合型,2018-02-26,至今,2年又228天,129.83%,46.90%,56|2346
