,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,赵鼎龙,2019-11-15,无,"赵鼎龙先生:硕士。2015年11月至2017年7月泰康资产管理有限责任公司固收交易员;2017年8月加入天弘基金管理有限公司,历任固定收益机构投资部研究员、投资经理助理、基金经理助理,自2019年11月15日起任天弘华享三个月定期开放债券型发起式证券投资基金基金经理。2019年11月15日担任天弘价值精选灵活配置混合型发起式证券投资基金基金经理。自2019年11月15日起任天弘华享三个月定期开放债券型发起式证券投资基金、天弘价值精选灵活配置混合型发起式证券投资基金、天弘安益债券型证券投资基金、天弘裕利灵活配置混合型证券投资基金、天弘弘利债券型证券投资基金和天弘精选混合型证券投资基金的基金经理。2020年3月18日任职天弘恒享一年定期开放债券型发起式证券投资基金基金经理。",天弘恒享一年定开,008762,定开债券,2020-03-18,至今,207天,-1.44%,0.60%,348|351
1,,,,,天弘弘利债券,000306,债券型,2019-11-15,至今,331天,2.26%,4.81%,1440|1971
2,,,,,天弘裕利灵活配置混合A,002388,混合型,2019-11-15,至今,331天,1.19%,37.00%,3162|3201
3,,,,,天弘价值精选灵活配置混合,002639,混合型,2019-11-15,至今,331天,18.29%,37.00%,2331|3201
4,,,,,天弘裕利灵活配置混合C,005997,混合型,2019-11-15,至今,331天,1.09%,37.00%,3164|3201
5,,,,,天弘华享三个月定开债,007220,定开债券,2019-11-15,至今,331天,3.20%,3.38%,293|683
6,,,,,天弘安益债券A,007295,债券型,2019-11-15,至今,331天,2.95%,4.81%,944|1971
7,,,,,天弘安益债券C,007296,债券型,2019-11-15,至今,331天,2.66%,4.81%,1120|1971
8,,,,,天弘精选混合,420001,混合型,2019-11-15,至今,331天,31.34%,37.00%,1817|3201
