,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,赵若琼,2017-02-28,无,"赵若琼:硕士,历任民生证券研究院行业研究员,方正证券研究所行业研究员,2015年6月加入益民基金管理有限公司任研究部研究员。",益民优势安享混合,005331,混合型,2018-04-23,至今,2年又172天,54.73%,52.31%,987|2460
1,,,,,益民信用增利纯债一年定开A,004803,定开债券,2018-02-06,2020-09-15,2年又222天,14.47%,13.56%,72|198
2,,,,,益民信用增利纯债一年定开C,004804,定开债券,2018-02-06,2020-09-15,2年又222天,13.52%,13.56%,95|198
3,,,,,益民货币,560001,货币型,2018-02-06,至今,2年又248天,4.50%,7.38%,632|636
4,,,,,益民多利债券,560005,债券型,2018-02-06,2018-08-10,185天,0.29%,2.28%,950|1226
5,,,,,益民中证智能消费,004354,股票指数,2017-05-08,至今,3年又157天,27.11%,54.56%,511|680
6,,,,,益民服务领先混合,000410,混合型,2017-02-28,至今,3年又226天,65.30%,62.74%,728|1894
