,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,严婧璧,2019-07-27,无,"严婧璧女士:硕士,2018.01-2019.07国海富兰克林基金管理有限公司基金经理助理,2015.08-2018.01国海富兰克林基金管理有限公司交易员,2013.08-2015.08太平资产管理有限公司交易员,2012.12-2013.08上海珩生资产管理有限公司交易员,2011.08-2012.12上海中驰创业投资管理有限公司交易员,2007.06-2010.10上海加捷投资咨询公司有限公司交易员",国富日日收益货币A,000203,货币型,2019-07-27,至今,1年又77天,2.34%,2.58%,538|640
1,,,,,国富日日收益货币B,000204,货币型,2019-07-27,至今,1年又77天,2.63%,2.58%,307|640
2,,,,,国富安享货币,004120,货币型,2019-07-27,至今,1年又77天,2.75%,2.58%,190|640
3,,,,,国富日鑫月益30天理财债券A,004663,理财型,2019-07-27,至今,1年又77天,2.54%,2.89%,25|27
4,,,,,国富日鑫月益30天理财债券B,004664,理财型,2019-07-27,至今,1年又77天,2.85%,2.89%,15|27
