,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,苗宇,2015-02-17,无,"苗宇先生:中国籍,理学博士,持有中国证券投资基金业从业证书,2008年7月1日至2010年5月9日任广发基金管理有限公司研究发展部行业研究员,2010年5月10日至2015年1月5日任广发小盘成长混合(LOF)基金的基金经理助理,2015年2月12日起任广发聚富混合基金的基金经理,2015年2月17日起任广发竞争优势混合基金的基金经理。2015年2月12日至2020年2月10日担任广发聚富开放式证券投资基金基金经理。2020年3月25日起担任广发优质生活混合型证券投资基金基金经理。曾任广发聚丰混合型证券投资基金基金经理。",广发优质生活混合,008273,混合型,2020-03-25,至今,200天,49.40%,30.24%,466|3230
1,,,,,广发趋势动力混合,006377,混合型,2018-12-25,至今,1年又291天,60.48%,75.20%,1507|2694
2,,,,,广发大盘成长混合,270007,混合型,2018-11-05,至今,1年又341天,126.91%,69.44%,317|2673
3,,,,,广发聚丰混合A,270005,混合型,2018-02-02,2020-05-13,2年又101天,21.09%,20.59%,917|2431
4,,,,,广发竞争优势混合,000529,混合型,2015-02-17,至今,5年又238天,175.60%,101.33%,98|800
5,,,,,广发聚富混合,270001,混合型,2015-02-12,2020-02-10,4年又364天,19.85%,57.22%,614|764
