,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,魏东,2014-03-04,无,"魏东先生,硕士研究生学历,曾任职于平安证券有限责任公司和国信证券股份有限公司;2003年1月加盟华宝兴业基金管理有限公司,先后担任交易部总经理、华宝兴业宝康灵活配置证券投资基金基金经理和华宝兴业先进成长股票型证券投资基金基金经理、投资副总监及国内投资部总经理职务。2009年6月加入国联安基金管理有限公司,担任总经理助理。2009年8月起至今兼任投资总监。2009年9月至今,担任国联安德盛精选股票证券投资基金的基金经理。2009年12月至2011年8月,担任国联安主题驱动股票型证券投资基金的基金经理。2011年11月至今,担任国联安基金管理有限公司副总经理。",国联安新精选混合,000417,混合型,2014-03-04,至今,6年又223天,87.59%,169.98%,523|637
1,,,,,国联安主题驱动混合,257050,混合型,2009-12-30,2011-08-27,1年又240天,-4.71%,-3.34%,180|330
2,,,,,国联安精选混合,257020,混合型,2009-09-30,至今,11年又14天,245.76%,192.39%,83|319
3,,,,,华宝先进成长混合,240009,混合型,2006-11-07,2009-05-14,2年又189天,89.49%,90.79%,70|147
4,,,,,华宝宝康配置混合,240002,混合型,2004-05-18,2009-05-27,5年又10天,215.81%,201.89%,19|41
