,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,马文文,2020-05-28,无,"马文文先生:中国,硕士研究生、硕士。曾任广发基金管理有限公司研究发展部研究员、研究发展部总经理助理、权益投资一部研究员。2020年3月16日担任广发价值回报混合型证券投资基金基金经理。2020年4月20日任广发集瑞债券型证券投资基金基金经理。2020年5月28日起担任广发成长优选灵活配置混合型证券投资基金基金经理。2020年5月28日担任广发鑫源灵活配置混合型证券投资基金基金经理。",广发成长优选混合,000214,混合型,2020-05-28,至今,136天,13.40%,22.56%,2391|3389
1,,,,,广发鑫源混合A,002135,混合型,2020-05-28,至今,136天,5.93%,22.56%,2999|3389
2,,,,,广发鑫源混合C,002136,混合型,2020-05-28,至今,136天,5.69%,22.56%,3028|3389
3,,,,,广发集瑞债券A,003037,债券型,2020-04-20,至今,174天,-1.32%,0.47%,1511|2162
4,,,,,广发集瑞债券C,003038,债券型,2020-04-20,至今,174天,-1.51%,0.47%,1597|2162
5,,,,,广发价值回报混合A,004852,混合型,2020-03-16,至今,209天,9.67%,31.35%,2732|3212
6,,,,,广发价值回报混合C,004853,混合型,2020-03-16,至今,209天,9.42%,31.35%,2759|3212
7,,,,,广发新动力混合,000550,混合型,2016-11-08,2019-03-01,2年又113天,-20.60%,3.30%,1558|1674
