,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,厉骞,2020-03-10,无,"厉骞先生:中国,博士研究生。2016年4月加入华商基金管理有限公司,曾任研究员;2019年12月25日起至今担任华商丰利增强定期开放债券型证券投资基金的基金经理。2020年3月10日担任华商双债丰利债券型证券投资基金基金经理。2020年07月16日担任华商信用增强债券型证券投资基金基金经理。",华商信用增强债券A,001751,债券型,2020-07-16,至今,87天,2.27%,0.86%,188|2371
1,,,,,华商信用增强债券C,001752,债券型,2020-07-16,至今,87天,2.09%,0.86%,212|2371
2,,,,,华商双债丰利债券A,000463,债券型,2020-03-10,至今,215天,-16.86%,1.07%,2102|2103
3,,,,,华商双债丰利债券C,000481,债券型,2020-03-10,至今,215天,-17.08%,1.07%,2103|2103
4,,,,,华商丰利增强定开债A,003092,定开债券,2019-12-25,至今,291天,18.86%,2.53%,1|759
5,,,,,华商丰利增强定开债C,003093,定开债券,2019-12-25,至今,291天,18.45%,2.53%,2|759
