,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,夏钦,2016-05-11,无,"夏钦先生:硕士研究生。上海交通大学会计学硕士。历任上海申银万国证券研究所高级研究员,UBS(瑞银)董事,平安资产管理有限责任公司策略研究经理。2015年9月加入财通基金管理有限公司,现任基金投资部基金经理。2020年4月13日担任财通行业龙头精选混合型证券投资基金基金经理。",财通行业龙头精选混合A,006967,混合型,2020-04-13,至今,181天,31.62%,29.12%,1575|3253
1,,,,,财通行业龙头精选混合C,006968,混合型,2020-04-13,至今,181天,31.34%,29.12%,1609|3253
2,,,,,财通多策略福享混合(LOF),501026,混合型,2019-07-03,至今,1年又101天,31.52%,47.73%,1828|2916
3,,,,,财通多策略福瑞混合(LOF),501028,混合型,2019-07-03,至今,1年又101天,69.87%,47.73%,715|2916
4,,,,,财通福盛混合发起(LOF),501032,混合型,2019-07-03,至今,1年又101天,37.02%,47.73%,1660|2916
5,,,,,财通新兴蓝筹混合A,006522,混合型,2019-02-28,至今,1年又226天,54.57%,56.05%,1299|2772
6,,,,,财通新兴蓝筹混合C,006523,混合型,2019-02-28,至今,1年又226天,52.56%,56.05%,1344|2772
7,,,,,财通可持续混合,000017,混合型,2016-05-11,至今,4年又154天,125.17%,78.02%,247|1405
