,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,王睿,2019-08-28,无,"王睿先生:中国,研究生、硕士。2007年9月至2008年4月期间于上海甫瀚咨询管理有限公司担任咨询师,负责财务战略咨询工作;2008年4月至2009年10月期间于美国国际集团(AIG)投资部担任研究员;2009年10月加入信诚基金管理有限公司,曾担任专户投资经理,现任研究副总监,信诚优胜精选混合型证券投资基金、中信保诚精萃成长混合型证券投资基金、中信保诚创新成长灵活配置混合型证券投资基金的基金经理。",信诚至远A,550015,混合型,2019-10-25,至今,352天,93.62%,38.67%,38|3171
1,,,,,信诚至远C,550016,混合型,2019-10-25,至今,352天,92.99%,38.67%,41|3171
2,,,,,信诚新兴产业混合,000209,混合型,2019-08-28,至今,1年又45天,80.43%,42.82%,258|2988
3,,,,,中信保诚创新成长混合,006392,混合型,2019-01-30,至今,1年又255天,120.37%,71.82%,474|2738
4,,,,,中信保诚精萃成长混合,550002,混合型,2015-05-29,至今,5年又137天,44.79%,35.94%,348|961
5,,,,,信诚优胜精选混合,550008,混合型,2015-04-30,至今,5年又166天,61.46%,55.36%,334|879
