,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,盛丰衍,2019-03-19,无,"盛丰衍先生:硕士,毕业于复旦大学计算机应用技术专业。曾任光大证券股份有限公司权益投资助理、上海光大证券资产管理有限公司研究员、兴证证券资产管理有限公司量化研究员。2016年10月加入西部利得基金管理有限公司,现任基金经理。自2016年11月起担任西部利得中证500等权重指数分级证券投资基金的基金经理,自2018年12月起担任西部利得沪深300指数增强型证券投资基金的基金经理,自2018年7月起担任西部利得中证国有企业红利指数增强型证券投资基金(LOF)的基金经理,自2019年3月起担任西部利得量化成长混合型发起式证券投资基金的基金经理。2020年6月19日担任西部利得创业板大盘交易型开放式指数证券投资基金基金经理。",西部利得创业板大盘ETF,159814,ETF-场内,2020-06-19,至今,114天,3.51%,15.85%,1510|1581
1,,,,,西部利得国企红利(LOF)C,009439,股票指数,2020-05-08,至今,156天,16.09%,22.84%,1191|1535
2,,,,,西部利得中证500指数增强C,009300,股票指数,2020-04-13,至今,181天,42.55%,31.07%,219|1454
3,,,,,西部利得量化成长混合,000006,混合型,2019-03-19,至今,1年又207天,87.76%,48.58%,344|2778
4,,,,,西部利得沪深300指数增强C,673101,股票指数,2018-12-27,至今,1年又289天,98.38%,84.05%,312|1000
5,,,,,西部利得国企红利(LOF)A,501059,股票指数,2018-07-11,至今,2年又93天,49.16%,57.44%,537|933
6,,,,,西部利得沪深300指数增强A,673100,股票指数,2018-01-26,至今,2年又259天,59.08%,33.16%,159|821
7,,,,,西部利得中证500指数增强A,502000,股票指数,2016-11-24,至今,3年又322天,44.29%,51.06%,299|611
