,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,张自力,2013-06-14,无,"张自力先生,理论物理学博士,毕业于美国德州大学奥斯汀分校和中国科学技术大学。曾任美国世纪投资管理公司(American Century Investments)资深副总经理,研究部总监暨基金经理,负责直接管理、支持公司旗下近二百亿美元的多项大型公募基金和对冲基金类产品。2012年2月加入嘉实基金管理有限公司,任董事总经理(MD)、投资决策委员会成员、定量投资部负责人。2013年6月14日起担任嘉实美国成长股票型证券投资基金基金经理,2015年6月9日起担任嘉实事件驱动股票型证券投资基金基金经理。",嘉实中小企业量化活力混合,004536,混合型,2017-07-04,2018-09-20,1年又78天,-22.20%,-3.88%,2078|2184
1,,,,,嘉实量化阿尔法混合,070017,混合型,2017-07-01,2018-09-20,1年又81天,-17.55%,-4.21%,1939|2184
2,,,,,嘉实事件驱动股票,001416,股票型,2015-06-09,至今,5年又126天,16.50%,5.16%,121|389
3,,,,,嘉实美国成长股票人民币,000043,QDII,2013-06-14,至今,7年又121天,160.10%,57.64%,7|74
4,,,,,嘉实美国成长股票美元现汇,000044,QDII,2013-06-14,至今,7年又121天,132.90%,57.64%,9|74
