,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,赵航,2020-05-18,无,"赵航先生:中南财经大学投资经济专业硕士。曾任大鹏证券资产管理中心投资经理、长城证券投资银行部项目经理、鹏华基金原普华证券投资基金基金经理(2003年4月10日至2005年5月21日期间)、原中信基金中信红利精选股票型证券投资基金基金经理(2008年5月19日至2009年4月18日期间)、华夏经典配置混合型证券投资基金基金经理(2009年8月7日至2011年11月7日期间)等,现任股票投资部执行总经理,华夏红利混合型证券投资基金基金经理(2011年1月18日至2020年5月18日任职)、华夏复兴股票型证券投资基金基金经理(2015年1月7日起任职)。2020年5月18日起任华夏鼎沛债券型证券投资基金基金经理。2020年5月18日起任华夏盛世精选混合型证券投资基金基金经理。",华夏盛世混合,000061,混合型,2020-05-18,至今,146天,22.63%,21.29%,1652|3350
1,,,,,华夏鼎沛债券A,005886,债券型,2020-05-18,至今,146天,10.16%,0.62%,77|2228
2,,,,,华夏鼎沛债券C,005887,债券型,2020-05-18,至今,146天,9.98%,0.62%,80|2228
3,,,,,华夏复兴混合,000031,混合型,2015-01-07,2019-03-21,4年又74天,-1.47%,34.50%,656|748
4,,,,,华夏红利混合,002011,混合型,2011-01-18,2020-05-18,9年又123天,52.49%,109.21%,298|383
5,,,,,华夏经典混合,288001,混合型,2009-08-07,2011-11-07,2年又92天,3.44%,-6.69%,60|310
6,,,,,华夏收入混合,288002,混合型,2008-05-19,2009-04-18,334天,-13.96%,-19.95%,38|221
7,,,,,基金普华,184711,封闭式,2003-04-10,2005-05-21,2年又42天,-19.69%,1.98%,54|54
