,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,王赛飞,2018-06-22,无,"王赛飞女士:硕士,曾任大公国际资信评估有限公司分析师、信用评审委员会委员。2015年7月加入长盛基金管理有限公司固定收益部,曾任信用研究员、长盛盛丰灵活配置混合型证券投资基金基金经理助理。2018年6月起任长盛积极配置债券型证券投资基金、长盛添利宝货币市场基金基金经理。2020年6月19日任长盛中债1-3年政策性金融债指数证券投资基金的基金经理。",长盛中债1-3年政策性金融债A,008679,债券指数,2020-06-19,至今,114天,0.48%,1.11%,920|2382
1,,,,,长盛中债1-3年政策性金融债C,008680,债券指数,2020-06-19,至今,114天,0.45%,1.11%,952|2382
2,,,,,长盛添利宝货币A,000424,货币型,2018-06-22,至今,2年又112天,5.20%,5.81%,537|636
3,,,,,长盛添利宝货币B,000425,货币型,2018-06-22,至今,2年又112天,5.78%,5.81%,347|636
4,,,,,长盛积极配置债券,080003,债券型,2018-06-22,至今,2年又112天,13.60%,14.26%,428|1248
