,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,周心鹏,2017-03-10,无,"周心鹏先生:博士,具有基金从业资格。曾先后任职于南方证券投资银行部、中投证券投资银行部、长盛基金研究部和华夏基金机构投资部。2010年1月加入诺安基金管理有限公司,任基金经理助理。于2010年10月起任诺安中小盘精选股票型证券投资基金基金经理,2011年3月起任诺安价值增长股票证券投资基金基金经理。2014年3月起任诺安优势行业灵活配置混合型证券投资基金基金经理。",博时厚泽回报混合A,005265,混合型,2017-11-22,至今,2年又324天,74.19%,44.56%,379|2197
1,,,,,博时厚泽回报混合C,005266,混合型,2017-11-22,至今,2年又324天,70.21%,44.56%,417|2197
2,,,,,博时裕益混合,000219,混合型,2017-03-10,至今,3年又216天,92.27%,61.25%,440|2018
3,,,,,诺安稳健回报灵活配置混合C,002052,混合型,2015-11-18,2016-09-13,300天,2.41%,-4.42%,383|1222
4,,,,,诺安稳健回报灵活配置混合A,000714,混合型,2014-09-15,2016-09-13,1年又364天,33.90%,41.19%,404|722
5,,,,,诺安优势行业混合A,000538,混合型,2014-03-13,2015-04-04,1年又22天,22.20%,65.23%,606|649
6,,,,,诺安价值增长混合,320005,混合型,2011-03-17,2015-04-04,4年又19天,29.65%,55.86%,321|396
7,,,,,诺安中小盘精选混合,320011,混合型,2010-10-23,2016-09-13,5年又327天,101.31%,38.54%,23|375
