,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,袁宜,2013-04-12,无,"袁宜先生:博士,曾任申银万国证券研究所有限公司宏观分析师、高级宏观分析师、高级策略分析师、首席策略分析师;2011年3月加入富国基金管理有限公司,任首席经济学家兼基金经理助理;2012年10月至2014年4月29日任汉盛证券投资基金基金经理,2013年4月起任富国宏观策略灵活配置混合型证券投资基金基金经理,2014年4月30日起任富国天盛灵活配置混合型证券投资基金基金经理,2016年9月起就任富国睿利定期开放混合型发起式证券投资基金基金经理;兼任权益投资副总监。具有基金从业资格。",富国国企改革灵活配置混合,005357,混合型,2018-02-01,至今,2年又253天,46.16%,46.36%,940|2318
1,,,,,富国睿利定开混合发起式,002908,混合型,2016-09-29,至今,4年又13天,24.40%,64.74%,1380|1625
2,,,,,富国天盛灵活配置基金,000634,混合型,2014-04-30,2018-09-27,4年又151天,67.59%,58.86%,254|688
3,,,,,富国宏观策略灵活配置混合,000029,混合型,2013-04-12,至今,7年又184天,233.95%,206.01%,205|559
4,,,,,基金汉盛,500005,封闭式,2012-10-12,2014-04-30,1年又200天,-3.74%,8.09%,16|17
