,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,刘阳,2015-07-07,无,"刘阳:研究生硕士,2003-2004冠通期货/研究员2008-至今博时基金/历任研究员、基金经理助理、投资经理。现任博时内需增长混合基金的基金经理。",博时内需增长混合,000264,混合型,2015-07-07,至今,5年又98天,21.20%,79.20%,904|1013
1,陈雷,2017-03-10,无,"陈雷先生:硕士,2007-2008 华信惠悦咨询公司/分析师,2008-至今 博时基金/历任数据分析员、研究员、资深研究员、基金经理助理、博时回报灵活配置混合型证券投资基金、博时平衡配置混合型证券投资基金的基金经理。 现任博时行业轮动混合型证券投资基金、博时内需增长灵活配置混合型证券投资基金、博时鑫禧灵活配置混合型证券投资基金的基金经理。",博时鑫禧灵活配置混合A,005154,混合型,2017-10-09,2018-07-28,292天,0.66%,-3.19%,869|2370
2,,,,,博时鑫禧灵活配置混合C,005155,混合型,2017-10-09,2018-07-28,292天,0.58%,-3.19%,880|2370
3,,,,,博时内需增长混合,000264,混合型,2017-03-10,至今,3年又216天,45.39%,61.25%,1089|2018
4,,,,,博时平衡配置混合,050007,混合型,2015-02-13,2016-04-20,1年又67天,-14.41%,11.53%,767|807
5,,,,,博时回报混合,050022,混合型,2014-12-08,2016-04-20,1年又134天,28.84%,20.12%,215|745
6,,,,,博时行业轮动混合,050018,混合型,2014-08-29,至今,6年又45天,106.96%,161.51%,505|720
