,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,李晓博,2020-08-05,无,"李晓博先生:经济学硕士,曾任中邮创业基金管理股份有限公司中邮定期开放债券型证券投资基金基金经理助理,现任中邮创业基金管理股份有限公司固定收益研究员。2020年7月1日起担任广发聚泰混合型证券投资基金基金经理。2020年7月1日担任广发聚盛灵活配置混合型证券投资基金基金经理。2020年8月5日担任广发聚荣一年持有期混合型证券投资基金基金经理。2020年8月5日起担任广发亚太中高收益债券型证券投资基金基金经理。",广发亚太中高收益债券,000274,QDII,2020-08-05,至今,67天,-1.73%,-3.67%,111|298
1,,,,,广发亚太中高收益债券现汇,000275,QDII,2020-08-05,至今,67天,0.65%,-3.67%,45|298
2,,,,,广发聚荣一年持有混合A,009525,混合型,2020-08-05,至今,67天,0.14%,-0.97%,1543|3571
3,,,,,广发聚荣一年持有混合C,009526,混合型,2020-08-05,至今,67天,0.07%,-0.97%,1583|3571
4,,,,,广发聚泰混合A,001355,混合型,2020-07-01,至今,102天,3.29%,11.03%,3027|3475
5,,,,,广发聚泰混合C,001356,混合型,2020-07-01,至今,102天,3.12%,11.03%,3050|3475
6,,,,,广发聚盛混合A,002025,混合型,2020-07-01,至今,102天,4.93%,11.03%,2774|3475
7,,,,,广发聚盛混合C,002026,混合型,2020-07-01,至今,102天,4.90%,11.03%,2780|3475
