,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,王栩,2013-06-25,无,"王栩先生:国籍:中国,1978 年出生,同济大学管理学硕士。曾任上海永嘉投资管理有限公司研究员。2004年11月加入汇添富基金管理股份有限公司任高级行业研究员,2009年11月30日至2010年2月4日任汇添富优势精选混合型证券投资基金的基金经理助理,2010年2月5日至今任汇添富优势精选混合型证券投资基金的基金经理,2010年9月21日至2013年5月10日任汇添富医药保健股票型证券投资基金的基金经理,2012年7月10日至今任汇添富理财14天债券型证券投资基金的基金经理,2013年6月25日至今任汇添富美丽30股票型证券投资基金的基金经理。2019年12月6日担任汇添富大盘核心资产增长混合型证券投资基金基金经理。2020年1月8日起任汇添富大盘核心资产增长混合型证券投资基金基金经理。",汇添富大盘核心资产混合,008063,混合型,2020-01-08,至今,277天,42.67%,29.33%,820|3123
1,,,,,汇添富外延增长主题股票,000925,股票型,2019-01-18,至今,1年又267天,92.71%,74.86%,305|1056
2,,,,,汇添富美丽30混合,000173,混合型,2013-06-25,至今,7年又110天,260.47%,208.38%,158|568
3,,,,,汇添富理财14天债券A,470014,债券型,2012-07-10,2015-03-31,2年又264天,,12.71%,4|4
4,,,,,汇添富理财14天债券B,471014,债券型,2012-07-10,2015-03-31,2年又264天,,12.71%,3|4
5,,,,,汇添富医药保健混合A,470006,混合型,2010-09-21,2013-05-10,2年又232天,9.80%,-5.03%,45|377
6,,,,,汇添富优势精选混合,519008,混合型,2010-02-06,至今,10年又250天,283.44%,175.61%,46|332
