,code,abbreviation,name,type,name_en
97,000127,NYHYLXHH,农银行业领先混合,混合型,NONGYINHANGYELINGXIANHUNHE
98,000128,DCJADRZQA,大成景安短融债券A,债券型,DACHENGJINGANDUANRONGZHAIQUANA
99,000129,DCJADRZQB,大成景安短融债券B,债券型,DACHENGJINGANDUANRONGZHAIQUANB
100,000130,DCJXXYZZQA,大成景兴信用债债券A,债券型,DACHENGJINGXINGXINYONGZHAIZHAIQUANA
101,000131,DCJXXYZZQC,大成景兴信用债债券C,债券型,DACHENGJINGXINGXINYONGZHAIZHAIQUANC
102,000134,ZXBCJHZQA,中信保诚嘉鸿债券A,债券型,ZHONGXINBAOCHENGJIAHONGZHAIQUANA
103,000135,ZXBCJHZQC,中信保诚嘉鸿债券C,债券型,ZHONGXINBAOCHENGJIAHONGZHAIQUANC
104,000136,MSJYCLJXHHA,民生加银策略精选混合A,混合型,MINSHENGJIAYINCELUEJINGXUANHUNHEA
105,000137,MSJYSSZLZQA,民生加银岁岁增利债券A,定开债券,MINSHENGJIAYINSUISUIZENGLIZHAIQUANA
106,000138,MSJYSSZLZQC,民生加银岁岁增利债券C,定开债券,MINSHENGJIAYINSUISUIZENGLIZHAIQUANC
107,000139,FGGYQYZZQAB,富国国有企业债债券A/B,债券型,FUGUOGUOYOUQIYEZHAIZHAIQUANAB
108,000140,FGGYQYZZQAB,富国国有企业债债券A/B(后端),债券型,FUGUOGUOYOUQIYEZHAIZHAIQUANAB
109,000141,FGGYQYZZQC,富国国有企业债债券C,债券型,FUGUOGUOYOUQIYEZHAIZHAIQUANC
110,000142,RTZQSYZQA,融通增强收益债券A,债券型,RONGTONGZENGQIANGSHOUYIZHAIQUANA
111,000143,PHSZJLZQ,鹏华双债加利债券,债券型,PENGHUASHUANGZHAIJIALIZHAIQUAN
112,000147,YFDGDJXYZZQA,易方达高等级信用债债券A,债券型,YIFANGDAGAODENGJIXINYONGZHAIZHAIQUANA
113,000148,YFDGDJXYZZQC,易方达高等级信用债债券C,债券型,YIFANGDAGAODENGJIXINYONGZHAIZHAIQUANC
114,000149,HASZTLZQA,华安双债添利债券A,债券型,HUAANSHUANGZHAITIANLIZHAIQUANA
115,000150,HASZTLZQC,华安双债添利债券C,债券型,HUAANSHUANGZHAITIANLIZHAIQUANC
116,000152,DCJXCZZQA,大成景旭纯债债券A,债券型,DACHENGJINGXUCHUNZHAIZHAIQUANA
117,000153,DCJXCZZQC,大成景旭纯债债券C,债券型,DACHENGJINGXUCHUNZHAIZHAIQUANC
118,000154,FGHS300ZSZQ,富国沪深300指数增强(后端),股票指数,FUGUOHUSHEN300ZHISHUZENGQIANG
119,000155,FGTZTSZTLDHH,富国通胀通缩主题轮动混合(后端),混合型,FUGUOTONGZHANGTONGSUOZHUTILUNDONGHUNHE
120,000157,FGQQKJHLWQDII,富国全球科技互联网(QDII)(后端),QDII,FUGUOQUANQIUKEJIHULIANWANGQDII
121,000158,FGDTHBHH,富国低碳环保混合(后端),混合型,FUGUODITANHUANBAOHUNHE
122,000159,FGGXJSCYHH,富国高新技术产业混合(后端),混合型,FUGUOGAOXINJISHUCHANYEHUNHE
123,000160,FGQHBDKZAB,富国强回报定开债A/B(后端),定开债券,FUGUOQIANGHUIBAODINGKAIZHAIAB
124,000161,FGHGCLLHPZHH,富国宏观策略灵活配置混合(后端),混合型,FUGUOHONGGUANCELUELINGHUOPEIZHIHUNHE
125,000162,FGZGZXPHH,富国中国中小盘混合(后端),QDII,FUGUOZHONGGUOZHONGXIAOPANHUNHE
126,000164,FGSZZSETFLJ,富国上证指数ETF联接(后端),联接基金,FUGUOSHANGZHENGZHISHUETFLIANJIE
127,000165,GTRYCLJXHH,国投瑞银策略精选混合,混合型,GUOTOURUIYINCELUEJINGXUANHUNHE
128,000166,ZHXXCYJXHH,中海信息产业精选混合,混合型,ZHONGHAIXINXICHANYEJINGXUANHUNHE
129,000167,GFJYLHPZHHA,广发聚优灵活配置混合A,混合型,GUANGFAJUYOULINGHUOPEIZHIHUNHEA
130,000171,YFDYFHBZQ,易方达裕丰回报债券,债券型,YIFANGDAYUFENGHUIBAOZHAIQUAN
131,000172,HTBRLHZQHHA,华泰柏瑞量化增强混合A,混合型,HUATAIBAIRUILIANGHUAZENGQIANGHUNHEA
132,000173,HTFML30HH,汇添富美丽30混合,混合型,HUITIANFUMEILI30HUNHE
133,000174,HTFGXZZQA,汇添富高息债债券A,债券型,HUITIANFUGAOXIZHAIZHAIQUANA
134,000175,HTFGXZZQC,汇添富高息债债券C,债券型,HUITIANFUGAOXIZHAIZHAIQUANC
135,000176,JSHS300ZSYJZQ,嘉实沪深300指数研究增强,股票指数,JIASHIHUSHEN300ZHISHUYANJIUZENGQIANG
136,000179,GFMGFDCZS,广发美国房地产指数,QDII-指数,GUANGFAMEIGUOFANGDICHANZHISHU
137,000180,GFMGFDCZSXH,广发美国房地产指数现汇,QDII-指数,GUANGFAMEIGUOFANGDICHANZHISHUXIANHUI
138,000181,JSCCSJJLZQA,景顺长城四季金利债券A,债券型,JINGSHUNCHANGCHENGSIJIJINLIZHAIQUANA
139,000182,JSCCSJJLZQC,景顺长城四季金利债券C,债券型,JINGSHUNCHANGCHENGSIJIJINLIZHAIQUANC
140,000183,JSFYCLDQZQ,嘉实丰益策略定期债券,定开债券,JIASHIFENGYICELUEDINGQIZHAIQUAN
141,000184,GYTFZQA,工银添福债券A,债券型,GONGYINTIANFUZHAIQUANA
142,000185,GYTFZQB,工银添福债券B,债券型,GONGYINTIANFUZHAIQUANB
143,000186,HTBRJJHZQ,华泰柏瑞季季红债券,债券型,HUATAIBAIRUIJIJIHONGZHAIQUAN
144,000187,HTBRFSCZZQA,华泰柏瑞丰盛纯债债券A,债券型,HUATAIBAIRUIFENGSHENGCHUNZHAIZHAIQUANA
145,000188,HTBRFSCZZQC,华泰柏瑞丰盛纯债债券C,债券型,HUATAIBAIRUIFENGSHENGCHUNZHAIZHAIQUANC
146,000189,YFDFHZQA,易方达丰华债券A,债券型,YIFANGDAFENGHUAZHAIQUANA
147,000190,ZYXHBLHPZHHA,中银新回报灵活配置混合A,混合型,ZHONGYINXINHUIBAOLINGHUOPEIZHIHUNHEA
148,000191,FGXYZZQAB,富国信用债债券A/B,债券型,FUGUOXINYONGZHAIZHAIQUANAB
149,000192,FGXYZZQC,富国信用债债券C,债券型,FUGUOXINYONGZHAIZHAIQUANC
150,000194,YHXYSJHZQA,银华信用四季红债券A,债券型,YINHUAXINYONGSIJIHONGZHAIQUANA
151,000195,GYCZSYHHA,工银成长收益混合A,混合型,GONGYINCHENGZHANGSHOUYIHUNHEA
152,000196,GYCZSYHHB,工银成长收益混合B,混合型,GONGYINCHENGZHANGSHOUYIHUNHEB
153,000197,FGMBSYYNQCZZQ,富国目标收益一年期纯债债券,定开债券,FUGUOMUBIAOSHOUYIYINIANQICHUNZHAIZHAIQUAN
154,000198,THYEBHB,天弘余额宝货币,货币型,TIANHONGYUEBAOHUOBI
155,000199,GTLHCLSYHH,国泰量化策略收益混合,混合型,GUOTAILIANGHUACELUESHOUYIHUNHE
156,000200,BSSSZLYNDKZ,博时岁岁增利一年定开债,定开债券,BOSHISUISUIZENGLIYINIANDINGKAIZHAI
157,000201,NATXYNDKZA,诺安泰鑫一年定开债A,定开债券,NUOANTAIXINYINIANDINGKAIZHAIA
158,000203,GFRRSYHBA,国富日日收益货币A,货币型,GUOFURIRISHOUYIHUOBIA
159,000204,GFRRSYHBB,国富日日收益货币B,货币型,GUOFURIRISHOUYIHUOBIB
160,000205,YFDTZJXYZZQA,易方达投资级信用债债券A,债券型,YIFANGDATOUZIJIXINYONGZHAIZHAIQUANA
161,000206,YFDTZJXYZZQC,易方达投资级信用债债券C,债券型,YIFANGDATOUZIJIXINYONGZHAIZHAIQUANC
162,000207,JXSZZQZQA,建信双债增强债券A,债券型,JIANXINSHUANGZHAIZENGQIANGZHAIQUANA
163,000208,JXSZZQZQC,建信双债增强债券C,债券型,JIANXINSHUANGZHAIZENGQIANGZHAIQUANC
164,000209,XCXXCYHH,信诚新兴产业混合,混合型,XINCHENGXINXINGCHANYEHUNHE
165,000210,GDXJBHBA,光大现金宝货币A,货币型,GUANGDAXIANJINBAOHUOBIA
166,000211,GDXJBHBB,光大现金宝货币B,货币型,GUANGDAXIANJINBAOHUOBIB
167,000212,TXXYDQKFA,泰信鑫益定期开放A,定开债券,TAIXINXINYIDINGQIKAIFANGA
168,000213,TXXYDQKFC,泰信鑫益定期开放C,定开债券,TAIXINXINYIDINGQIKAIFANGC
169,000214,GFCZYXHH,广发成长优选混合,混合型,GUANGFACHENGZHANGYOUXUANHUNHE
170,000215,GFQSYXLHPZHHA,广发趋势优选灵活配置混合A,混合型,GUANGFAQUSHIYOUXUANLINGHUOPEIZHIHUNHEA
171,000216,HAHJYETFLJA,华安黄金易ETF联接A,联接基金,HUAANHUANGJINYIETFLIANJIEA
172,000217,HAHJYETFLJC,华安黄金易ETF联接C,联接基金,HUAANHUANGJINYIETFLIANJIEC
173,000218,GTHJETFLJA,国泰黄金ETF联接A,联接基金,GUOTAIHUANGJINETFLIANJIEA
174,000219,BSYYHH,博时裕益混合,混合型,BOSHIYUYIHUNHE
175,000220,FGYLBJHYHH,富国医疗保健行业混合,混合型,FUGUOYILIAOBAOJIANHANGYEHUNHE
176,000221,HTFNNLDKZA,汇添富年年利定开债A,定开债券,HUITIANFUNIANNIANLIDINGKAIZHAIA
177,000222,HTFNNLDKZC,汇添富年年利定开债C,定开债券,HUITIANFUNIANNIANLIDINGKAIZHAIC
178,000225,CSNNSYDQZQA,长盛年年收益定期债券A,定开债券,CHANGSHENGNIANNIANSHOUYIDINGQIZHAIQUANA
179,000226,CSNNSYDQZQC,长盛年年收益定期债券C,定开债券,CHANGSHENGNIANNIANSHOUYIDINGQIZHAIQUANC
180,000227,HANNHZQA,华安年年红债券A,定开债券,HUAANNIANNIANHONGZHAIQUANA
181,000235,NAWGSYYNDKZ,诺安稳固收益一年定开债,定开债券,NUOANWENGUSHOUYIYINIANDINGKAIZHAI
182,000236,GYYYXDQZFZQA,工银月月薪定期支付债券A,债券型,GONGYINYUEYUEXINDINGQIZHIFUZHAIQUANA
183,000239,HANNYDKZA,华安年年盈定开债A,定开债券,HUAANNIANNIANYINGDINGKAIZHAIA
184,000240,HANNYDKZC,华安年年盈定开债C,定开债券,HUAANNIANNIANYINGDINGKAIZHAIC
185,000241,BYHXYSHHC,宝盈核心优势混合C,混合型,BAOYINGHEXINYOUSHIHUNHEC
186,000242,JSCCCLJXLHPZHH,景顺长城策略精选灵活配置混合,混合型,JINGSHUNCHANGCHENGCELUEJINGXUANLINGHUOPEIZHIHUNHE
187,000244,THWLDQKFA,天弘稳利定期开放A,定开债券,TIANHONGWENLIDINGQIKAIFANGA
188,000245,THWLDQKFB,天弘稳利定期开放B,定开债券,TIANHONGWENLIDINGQIKAIFANGB
189,000246,BSYYXDQZFZQ,博时月月薪定期支付债券,定开债券,BOSHIYUEYUEXINDINGQIZHIFUZHAIQUAN
190,000248,HTFZZZYXFETFLJ,汇添富中证主要消费ETF联接,联接基金,HUITIANFUZHONGZHENGZHUYAOXIAOFEIETFLIANJIE
191,000251,GYJRDCHH,工银金融地产混合,混合型,GONGYINJINRONGDICHANHUNHE
192,000252,JSCCJXXYCZZQA,景顺长城景兴信用纯债债券A,债券型,JINGSHUNCHANGCHENGJINGXINGXINYONGCHUNZHAIZHAIQUANA
193,000253,JSCCJXXYCZZQC,景顺长城景兴信用纯债债券C,债券型,JINGSHUNCHANGCHENGJINGXINGXINYONGCHUNZHAIZHAIQUANC
194,000254,CCDKZA,长城定开债A,定开债券,CHANGCHENGDINGKAIZHAIA
195,000255,CCDKZC,长城定开债C,定开债券,CHANGCHENGDINGKAIZHAIC
196,000256,STMGHLHBHHA,上投摩根红利回报混合A,混合型,SHANGTOUMOGENHONGLIHUIBAOHUNHEA
197,000259,NYQJSYHH,农银区间收益混合,混合型,NONGYINQUJIANSHOUYIHUNHE
198,000263,GYXXCYHH,工银信息产业混合,混合型,GONGYINXINXICHANYEHUNHE
199,000264,BSNXZZHH,博时内需增长混合,混合型,BOSHINEIXUZENGZHANGHUNHE
200,000265,YFDHJTL1NDKZA,易方达恒久添利1年定开债A,定开债券,YIFANGDAHENGJIUTIANLI1NIANDINGKAIZHAIA
201,000266,YFDHJTL1NDKZC,易方达恒久添利1年定开债C,定开债券,YIFANGDAHENGJIUTIANLI1NIANDINGKAIZHAIC
202,000267,GFJLYNDKZA,广发集利一年定开债A,定开债券,GUANGFAJILIYINIANDINGKAIZHAIA
203,000268,GFJLYNDKZC,广发集利一年定开债C,定开债券,GUANGFAJILIYINIANDINGKAIZHAIC
204,000270,JXLHPZHH,建信灵活配置混合,混合型,JIANXINLINGHUOPEIZHIHUNHE
205,000271,ZYDKZA,中邮定开债A,定开债券,ZHONGYOUDINGKAIZHAIA
206,000272,ZYDKZC,中邮定开债C,定开债券,ZHONGYOUDINGKAIZHAIC
207,000273,HRYDAXLHPZHHA,华润元大安鑫灵活配置混合A,混合型,HUARUNYUANDAANXINLINGHUOPEIZHIHUNHEA
208,000274,GFYTZGSYZQ,广发亚太中高收益债券,QDII,GUANGFAYATAIZHONGGAOSHOUYIZHAIQUAN
209,000275,GFYTZGSYZQXH,广发亚太中高收益债券现汇,QDII,GUANGFAYATAIZHONGGAOSHOUYIZHAIQUANXIANHUI
210,000277,BSSYXDQZFZQ,博时双月薪定期支付债券,定开债券,BOSHISHUANGYUEXINDINGQIZHIFUZHAIQUAN
211,000279,HSHLYXHH,华商红利优选混合,混合型,HUASHANGHONGLIYOUXUANHUNHE
212,000286,YHXYJJHZQA,银华信用季季红债券A,债券型,YINHUAXINYONGJIJIHONGZHAIQUANA
213,000289,PHFTDKZA,鹏华丰泰定开债A,定开债券,PENGHUAFENGTAIDINGKAIZHAIA
214,000290,PHQQGSYZQDII,鹏华全球高收益债(QDII),QDII,PENGHUAQUANQIUGAOSHOUYIZHAIQDII
215,000294,HASTYXHH,华安生态优先混合,混合型,HUAANSHENGTAIYOUXIANHUNHE
216,000295,PHFSDKZA,鹏华丰实定开债A,定开债券,PENGHUAFENGSHIDINGKAIZHAIA
217,000296,PHFSDKZB,鹏华丰实定开债B,定开债券,PENGHUAFENGSHIDINGKAIZHAIB
218,000297,PHKZZZQ,鹏华可转债债券,债券型,PENGHUAKEZHUANZHAIZHAIQUAN
219,000298,ZHCZZQA,中海纯债债券A,债券型,ZHONGHAICHUNZHAIZHAIQUANA
220,000299,ZHCZZQC,中海纯债债券C,债券型,ZHONGHAICHUNZHAIZHAIQUANC
221,000300,DBDLHBA,德邦德利货币A,货币型,DEBANGDELIHUOBIA
222,000301,DBDLHBB,德邦德利货币B,货币型,DEBANGDELIHUOBIB
223,000305,ZYZGDJA,中银中高等级A,债券型,ZHONGYINZHONGGAODENGJIA
224,000306,THHLZQ,天弘弘利债券,债券型,TIANHONGHONGLIZHAIQUAN
225,000307,YFDHJETFLJA,易方达黄金ETF联接A,联接基金,YIFANGDAHUANGJINETFLIANJIEA
226,000308,JXCXZGHH,建信创新中国混合,混合型,JIANXINCHUANGXINZHONGGUOHUNHE
227,000309,DMPZSHJXGP,大摩品质生活精选股票,股票型,DAMOPINZHISHENGHUOJINGXUANGUPIAO
228,000310,AXYLXYA,安信永利信用A,定开债券,ANXINYONGLIXINYONGA
229,000311,JSCCHS300ZSZQ,景顺长城沪深300指数增强,股票指数,JINGSHUNCHANGCHENGHUSHEN300ZHISHUZENGQIANG
230,000312,HAHS300ZQA,华安沪深300增强A,股票指数,HUAANHUSHEN300ZENGQIANGA
231,000313,HAHS300ZQC,华安沪深300增强C,股票指数,HUAANHUSHEN300ZENGQIANGC
232,000314,ZSRFLHPZHHFQSA,招商瑞丰灵活配置混合发起式A,混合型,ZHAOSHANGRUIFENGLINGHUOPEIZHIHUNHEFAQISHIA
233,000316,ZHRLLGYDKZ,中海瑞利六个月定开债,定开债券,ZHONGHAIRUILILIUGEYUEDINGKAIZHAI
234,000319,TDTLZQA,泰达淘利债券A,债券型,TAIDATAOLIZHAIQUANA
235,000320,TDTLZQC,泰达淘利债券C,债券型,TAIDATAOLIZHAIQUANC
236,000322,NYHLJHZQ,农银汇理金汇债券,债券型,NONGYINHUILIJINHUIZHAIQUAN
237,000324,HRYDXJSYHBA,华润元大现金收益货币A,货币型,HUARUNYUANDAXIANJINSHOUYIHUOBIA
238,000325,HRYDXJSYHBB,华润元大现金收益货币B,货币型,HUARUNYUANDAXIANJINSHOUYIHUOBIB
239,000326,NFZXPCZGP,南方中小盘成长股票,股票型,NANFANGZHONGXIAOPANCHENGZHANGGUPIAO
