,name,code
260,蒋文玲,manager_code
261,张峰,manager_code
262,欧阳力君,manager_code
263,赵治烨,manager_code
264,魏刚,manager_code
265,刘俊,manager_code
266,曾健飞,manager_code
267,王成,manager_code
268,艾小军,manager_code
269,徐成城,manager_code
270,刘武,manager_code
271,刘太阳,manager_code
272,吴迪,manager_code
273,朱海东,manager_code
274,邓默,manager_code
275,张燕,manager_code
276,赵鼎龙,manager_code
277,马文文,manager_code
