,基金号,近1年std,近2年std,近3年std,近1年夏普率,近2年夏普率,近3年夏普率
000159,000159,--,--,--,--,--,--
000509,000509,0.09%,0.10%,0.14%,7.54,9.31,10.17
002021,002021,15.07%,15.36%,17.19%,1.68,1.33,0.84
001877,001877,27.44%,25.55%,25.19%,1.30,0.85,0.33
000335,000335,2.74%,2.16%,1.92%,0.63,1.58,1.78
001174,001174,16.58%,13.07%,11.65%,1.07,0.89,0.37
001524,001524,7.31%,7.96%,8.09%,0.89,0.81,0.34
001031,001031,12.65%,9.46%,7.94%,0.71,0.63,0.64
001932,001932,5.80%,4.72%,3.93%,2.92,1.93,1.64
000620,000620,0.10%,0.11%,0.15%,9.32,10.58,11.36
001898,001898,21.08%,20.97%,21.43%,2.08,1.73,1.15
000270,000270,3.46%,2.64%,2.38%,0.60,0.19,0.34
000067,000067,14.82%,12.78%,12.58%,1.13,1.14,0.52
000437,000437,1.92%,1.63%,1.56%,1.19,2.25,2.30
001676,001676,17.51%,18.49%,17.98%,0.63,0.71,0.14
001226,001226,13.78%,12.00%,10.01%,0.94,0.66,0.53
001733,001733,19.66%,22.27%,21.74%,1.54,0.86,0.24
001699,001699,0.11%,0.10%,0.16%,3.01,5.12,6.94
001363,001363,15.50%,11.79%,9.68%,1.81,1.35,1.11
000122,000122,3.32%,3.15%,3.20%,1.14,1.20,0.70
000088,000088,3.32%,2.59%,2.39%,-1.26,-1.16,-1.02
000572,000572,4.31%,4.45%,4.17%,3.67,2.48,1.97
001949,001949,3.29%,2.73%,2.47%,0.61,1.18,1.31
000899,000899,2.39%,1.86%,1.68%,0.24,0.75,1.14
001271,001271,26.51%,21.43%,18.28%,1.25,1.16,0.86
001621,001621,0.09%,0.10%,0.13%,2.39,4.74,7.10
000933,000933,5.85%,8.72%,7.19%,1.80,1.35,1.26
000030,000030,23.05%,17.25%,14.19%,1.34,1.07,0.86
000175,000175,1.95%,1.78%,2.28%,0.92,2.52,0.67
001334,001334,4.60%,3.85%,3.41%,2.95,2.54,2.07
001764,001764,24.57%,22.35%,22.90%,2.29,1.17,0.57
000876,000876,3.33%,2.72%,2.51%,1.39,1.59,1.54
001508,001508,19.62%,19.23%,19.02%,3.14,2.55,2.06
001158,001158,21.94%,21.12%,21.54%,2.19,1.37,0.47
000319,000319,2.05%,1.62%,1.48%,1.30,1.98,2.05
000476,000476,0.09%,0.10%,0.16%,8.32,9.77,10.03
000925,000925,21.63%,22.30%,25.59%,2.14,1.19,0.29
001637,001637,21.67%,23.02%,22.35%,1.79,1.28,0.49
001267,001267,23.66%,21.78%,22.41%,1.56,1.37,0.74
000860,000860,0.10%,0.11%,0.16%,8.44,10.10,10.84
001772,001772,9.19%,8.31%,9.48%,-0.88,0.50,0.29
001322,001322,22.91%,23.18%,23.84%,2.06,1.29,0.35
000533,000533,0.10%,0.12%,0.15%,7.84,9.48,10.87
001908,001908,23.36%,20.89%,17.37%,2.55,1.93,1.56
001230,001230,25.08%,24.51%,26.00%,2.20,1.48,0.99
000972,000972,15.69%,14.72%,15.42%,2.06,1.46,0.71
001660,001660,19.82%,18.54%,--,0.95,0.89,--
000421,000421,2.12%,1.73%,1.59%,0.66,1.50,1.65
000071,000071,17.65%,17.20%,17.03%,-0.87,-0.49,-0.17
000564,000564,1.90%,1.51%,1.53%,0.75,1.85,2.06
000134,000134,0.70%,0.51%,0.43%,1.27,2.50,4.06
001375,001375,17.11%,16.62%,15.86%,2.03,1.21,0.50
000837,000837,0.10%,0.12%,0.16%,11.81,11.51,12.29
001725,001725,22.24%,20.37%,20.71%,2.08,1.40,1.02
001549,001549,18.48%,19.06%,19.28%,0.91,0.83,0.57
000708,000708,2.39%,2.18%,2.17%,2.12,1.95,1.76
001181,001181,20.87%,18.51%,18.13%,2.26,1.59,0.86
001928,001928,22.36%,21.02%,21.01%,2.04,1.50,1.03
000790,000790,0.10%,0.11%,0.15%,9.36,10.58,11.46
001882,001882,20.84%,21.21%,20.87%,1.15,0.67,0.43
000840,000840,2.05%,1.79%,1.72%,0.32,1.05,0.78
001752,001752,5.02%,4.30%,6.70%,0.90,0.62,-0.86
001302,001302,36.36%,31.32%,27.66%,0.80,0.82,0.33
000143,000143,5.60%,4.82%,4.29%,2.22,2.06,1.37
000513,000513,21.20%,22.09%,22.86%,2.75,2.02,1.10
000006,000006,21.93%,--,--,2.54,--,--
000905,000905,0.09%,0.11%,0.14%,13.10,12.89,13.54
001617,001617,31.47%,31.89%,30.06%,1.44,1.15,0.52
001247,001247,11.27%,8.22%,7.45%,1.53,1.11,0.78
001093,001093,23.44%,25.38%,23.22%,1.09,0.14,0.21
001569,001569,26.24%,27.25%,26.20%,2.53,1.44,0.64
001139,001139,2.28%,2.25%,2.22%,2.08,1.82,1.62
000682,000682,0.07%,0.09%,0.14%,8.42,8.72,9.04
001990,001990,21.09%,22.67%,22.43%,2.52,1.68,0.95
000378,000378,4.12%,3.44%,4.15%,1.33,1.42,0.33
000728,000728,1.55%,1.52%,1.59%,2.31,2.46,1.90
000397,000397,0.09%,0.11%,0.16%,7.76,8.99,10.06
000114,000114,--,--,--,--,--,--
001355,001355,8.59%,7.44%,6.11%,0.81,0.62,0.71
000817,000817,1.96%,1.58%,1.52%,1.33,2.41,2.62
001705,001705,21.07%,20.78%,20.83%,2.95,1.98,1.12
001210,001210,33.10%,30.42%,28.56%,1.47,1.39,0.78
000952,000952,0.12%,0.13%,0.17%,8.78,10.93,11.92
000051,000051,19.66%,19.85%,19.56%,1.09,0.85,0.43
001986,001986,27.77%,27.53%,27.30%,1.99,1.36,0.54
000694,000694,1.65%,1.40%,1.74%,0.48,2.09,1.74
000381,000381,0.10%,0.10%,0.14%,10.71,11.95,11.89
001969,001969,1.94%,1.46%,1.24%,0.76,1.04,1.50
000801,000801,1.35%,1.32%,1.18%,1.07,1.71,1.94
001343,001343,3.28%,7.68%,7.90%,3.43,1.32,0.91
000552,000552,1.76%,2.59%,2.36%,1.87,1.33,1.56
000047,000047,9.00%,7.95%,6.86%,2.06,1.58,1.25
000417,000417,21.95%,23.79%,23.02%,2.31,1.13,0.51
001656,001656,28.75%,24.60%,23.21%,1.92,1.32,0.74
000944,000944,2.37%,1.89%,1.78%,0.16,1.11,1.36
001528,001528,18.07%,17.76%,17.89%,2.05,1.20,0.88
001482,001482,23.23%,22.25%,23.07%,2.47,1.80,0.87
001178,001178,16.87%,21.45%,21.45%,1.86,1.58,0.90
000339,000339,23.88%,22.12%,22.27%,2.57,2.14,1.38
001894,001894,0.10%,0.13%,0.20%,4.76,6.96,6.88
000786,000786,0.10%,0.11%,0.15%,6.25,8.47,9.22
001197,001197,20.61%,17.14%,15.46%,2.14,1.44,0.96
000505,000505,0.09%,0.10%,0.13%,6.44,7.95,9.24
000155,000155,--,--,--,--,--,--
001314,001314,7.85%,6.80%,6.81%,2.98,2.60,1.88
001744,001744,8.83%,11.51%,12.26%,1.11,0.66,0.14
000856,000856,0.11%,0.13%,0.13%,23.14,15.32,11.96
001251,001251,0.07%,0.09%,0.15%,6.89,8.95,8.36
001601,001601,20.29%,15.39%,13.29%,1.42,1.12,0.68
000913,000913,28.18%,27.36%,27.92%,2.18,1.80,1.31
000010,000010,0.10%,0.11%,0.15%,9.16,10.53,11.44
000207,000207,7.87%,7.20%,7.61%,0.56,0.46,-0.05
001945,001945,2.51%,2.73%,2.58%,1.74,2.06,1.85
000657,000657,0.00%,0.00%,0.11%,--,-3.53,-11.56
001416,001416,22.51%,21.78%,21.69%,1.88,1.41,0.54
001046,001046,--,--,--,--,--,--
001553,001553,29.86%,30.58%,28.26%,0.86,0.88,0.38
001103,001103,14.55%,19.47%,17.64%,1.73,1.62,1.27
000342,000342,14.38%,10.59%,8.98%,-0.53,0.17,0.16
001800,001800,7.54%,7.17%,6.56%,0.84,1.25,1.29
000712,000712,0.08%,0.09%,0.14%,5.63,6.43,7.53
001380,001380,2.78%,3.26%,3.69%,3.21,2.41,1.49
000968,000968,20.43%,21.08%,20.89%,1.61,0.89,0.37
000591,000591,18.36%,16.40%,17.69%,1.85,1.20,0.69
000084,000084,0.63%,0.56%,0.82%,2.77,3.89,3.08
001695,001695,16.56%,16.88%,16.94%,3.06,2.10,1.32
001011,001011,2.86%,2.67%,3.61%,1.47,1.92,0.53
001441,001441,13.17%,14.86%,--,1.70,1.61,--
000600,000600,0.09%,0.11%,0.15%,9.09,10.04,10.76
001857,001857,24.66%,24.03%,--,1.71,1.52,--
000745,000745,6.08%,4.60%,3.82%,-0.93,-0.58,-0.06
001154,001154,19.69%,20.40%,20.80%,1.76,1.07,0.19
001504,001504,5.13%,4.34%,3.75%,2.68,2.36,1.97
002001,002001,15.54%,15.23%,16.69%,1.70,1.36,0.87
000196,000196,6.96%,5.89%,4.96%,2.69,2.05,1.78
000895,000895,0.08%,0.10%,0.15%,8.98,9.89,10.65
001338,001338,2.57%,2.48%,2.52%,1.59,2.23,2.11
000483,000483,0.10%,0.12%,0.15%,3.37,5.28,7.32
000179,000179,45.59%,33.93%,28.99%,-0.35,0.00,0.01
000529,000529,24.07%,22.97%,24.02%,2.13,1.80,1.01
000246,000246,2.08%,1.86%,2.01%,3.00,3.33,2.41
000616,000616,4.02%,4.20%,4.11%,0.17,1.03,0.39
001904,001904,5.18%,3.88%,4.04%,2.87,2.29,1.71
001457,001457,21.99%,20.93%,22.37%,2.53,1.79,0.64
001007,001007,20.21%,21.19%,22.45%,2.39,1.88,1.01
001512,001512,2.81%,2.24%,2.06%,0.12,0.80,0.96
001142,001142,6.91%,10.78%,11.16%,1.63,1.57,1.03
000753,000753,2.52%,3.89%,3.47%,3.27,1.54,1.19
000883,000883,0.10%,0.12%,0.17%,5.90,8.11,9.02
001791,001791,3.25%,3.40%,3.37%,0.99,0.30,0.01
000929,000929,16.85%,13.97%,12.12%,0.91,1.46,0.94
000180,000180,47.66%,35.28%,29.90%,-0.24,0.02,-0.02
002017,002017,3.55%,6.55%,7.09%,2.64,1.30,0.60
000495,000495,0.09%,0.11%,0.16%,9.41,10.37,11.09
001284,001284,10.76%,12.70%,12.96%,2.35,1.25,0.65
001050,001050,20.23%,21.31%,20.83%,2.05,1.35,0.62
001400,001400,6.42%,6.09%,5.55%,2.00,1.52,1.19
000641,000641,0.10%,0.12%,0.15%,7.56,9.18,10.59
000211,000211,0.12%,0.12%,0.15%,5.34,7.40,9.07
000704,000704,0.09%,0.11%,0.16%,6.35,7.53,8.87
001816,001816,10.53%,8.10%,7.40%,2.66,1.98,1.65
000354,000354,31.17%,28.13%,26.18%,0.86,0.81,0.23
001115,001115,5.38%,4.19%,4.46%,2.70,2.12,1.71
001545,001545,1.69%,1.49%,1.33%,0.98,2.13,2.28
000587,000587,21.73%,19.77%,20.62%,2.53,1.54,0.74
001396,001396,23.60%,22.25%,22.20%,1.87,1.45,0.65
000991,000991,24.96%,25.04%,23.92%,2.94,2.02,1.33
001683,001683,13.12%,11.34%,13.94%,-1.27,-0.27,-0.24
001379,001379,4.51%,6.38%,7.71%,3.13,1.67,0.95
000138,000138,3.30%,2.85%,2.40%,0.27,1.24,1.44
000586,000586,26.18%,24.93%,24.97%,1.55,1.19,0.50
001397,001397,20.02%,20.89%,20.35%,2.02,1.38,0.56
001728,001728,23.60%,20.90%,20.63%,1.99,1.73,1.07
000990,000990,23.15%,23.37%,22.74%,2.14,0.99,0.62
001682,001682,13.80%,16.59%,17.24%,1.55,1.23,0.50
000139,000139,0.66%,0.55%,0.65%,1.82,3.51,3.66
000569,000569,0.09%,0.11%,0.14%,8.03,9.36,10.53
001051,001051,18.76%,19.18%,19.45%,0.74,0.65,0.43
001401,001401,0.09%,0.11%,0.14%,9.98,10.58,11.47
000640,000640,0.10%,0.12%,0.15%,7.75,9.27,10.65
000210,000210,0.12%,0.12%,0.15%,3.40,5.60,7.65
000705,000705,0.10%,0.11%,0.16%,8.55,9.29,10.19
001817,001817,3.31%,4.01%,4.09%,3.39,2.58,1.46
000355,000355,2.31%,2.08%,2.02%,1.86,2.28,2.08
000882,000882,0.10%,0.11%,0.16%,3.71,6.32,7.73
001790,001790,29.43%,28.62%,28.26%,2.47,1.38,0.64
000928,000928,23.27%,20.41%,18.94%,2.04,1.44,0.91
000181,000181,4.89%,4.47%,3.97%,0.45,0.76,0.56
002016,002016,6.50%,4.98%,4.24%,2.31,1.86,1.62
000494,000494,0.09%,0.11%,0.16%,8.81,9.92,10.74
001285,001285,3.45%,4.18%,4.55%,3.40,2.94,1.49
000617,000617,4.06%,4.20%,4.08%,0.06,0.92,0.29
001905,001905,6.79%,6.66%,6.01%,0.80,0.74,0.36
001006,001006,0.09%,0.12%,0.17%,5.29,6.46,7.54
001513,001513,26.56%,26.57%,26.81%,1.90,1.57,0.98
001143,001143,23.75%,21.75%,21.60%,2.19,1.59,0.96
002000,002000,4.21%,3.12%,3.64%,2.50,2.13,0.95
000197,000197,2.30%,1.79%,1.62%,0.68,1.73,1.91
000894,000894,4.87%,4.82%,4.30%,1.42,1.47,0.88
001769,001769,7.91%,7.92%,11.26%,-0.91,0.01,0.16
001339,001339,21.93%,19.62%,18.81%,2.20,1.23,0.62
000528,000528,0.10%,0.12%,0.15%,7.05,8.85,10.53
001010,001010,0.09%,0.12%,0.15%,7.95,9.03,10.45
000601,000601,29.26%,28.76%,27.76%,2.56,1.89,1.04
000251,000251,22.40%,21.48%,21.72%,0.57,0.72,0.45
001856,001856,24.81%,22.18%,20.12%,2.68,2.35,1.57
000744,000744,6.03%,4.57%,3.79%,-0.86,-0.49,0.05
000314,000314,3.56%,6.53%,7.07%,2.78,1.39,0.67
001505,001505,5.89%,6.20%,5.61%,2.38,1.97,1.40
001381,001381,4.29%,4.49%,4.31%,2.46,1.59,1.02
000969,000969,23.90%,23.56%,23.19%,2.06,1.22,0.75
000590,000590,4.83%,4.13%,3.87%,2.24,1.95,1.65
000085,000085,0.63%,0.56%,0.83%,2.27,3.25,2.60
001694,001694,22.10%,21.27%,22.27%,3.18,2.61,1.41
000986,000986,21.71%,17.72%,16.53%,1.12,0.90,0.46
000206,000206,2.22%,1.80%,1.61%,0.52,1.47,1.79
000656,000656,19.00%,19.51%,18.50%,1.75,1.21,0.76
001417,001417,24.96%,23.50%,24.29%,2.20,1.50,1.22
001047,001047,22.32%,21.28%,22.04%,2.11,1.55,0.87
001552,001552,29.87%,30.59%,28.26%,0.87,0.89,0.39
001102,001102,24.35%,25.96%,25.61%,2.53,1.81,1.18
000343,000343,0.10%,0.11%,0.15%,7.40,9.08,10.26
001801,001801,8.36%,7.16%,6.73%,2.72,1.81,1.35
000713,000713,0.08%,0.09%,0.14%,8.23,8.69,9.06
000504,000504,1.02%,0.92%,1.34%,0.47,1.65,0.43
000154,000154,--,--,--,--,--,--
001315,001315,7.87%,6.82%,6.82%,2.95,2.56,1.85
001745,001745,6.28%,6.91%,6.87%,1.53,1.53,0.95
000857,000857,0.09%,0.09%,0.13%,7.71,9.48,9.64
001250,001250,6.42%,4.97%,4.29%,2.86,2.47,1.86
000912,000912,0.08%,0.12%,0.15%,10.67,8.36,9.33
000011,000011,21.87%,21.45%,21.70%,1.65,1.16,0.80
001529,001529,0.09%,0.10%,0.14%,6.88,8.97,9.68
001179,001179,19.96%,19.87%,19.72%,1.90,1.28,0.92
000338,000338,4.94%,4.47%,4.14%,2.11,1.84,1.74
001895,001895,0.11%,0.13%,0.21%,6.50,8.35,7.89
000787,000787,0.10%,0.10%,0.15%,3.98,6.50,7.77
001196,001196,4.90%,11.05%,14.21%,2.79,1.40,0.60
001712,001712,21.12%,21.38%,21.08%,1.94,1.25,0.79
000800,000800,22.26%,21.05%,23.17%,1.20,0.78,-0.02
001342,001342,3.29%,7.71%,7.92%,3.50,1.34,0.94
000103,000103,11.15%,8.36%,7.49%,-0.49,0.06,0.05
000553,000553,1.80%,2.58%,2.34%,1.61,1.18,1.41
000046,000046,3.41%,3.15%,3.22%,1.68,1.94,1.45
000416,000416,2.02%,1.68%,1.57%,0.87,2.44,2.64
001657,001657,18.85%,17.00%,17.59%,2.21,1.59,1.30
000945,000945,22.89%,23.50%,22.75%,2.19,1.23,0.87
001987,001987,0.09%,0.13%,0.16%,8.67,8.28,9.58
000380,000380,0.08%,0.10%,0.14%,6.85,8.65,9.17
001968,001968,1.94%,1.47%,1.24%,0.97,1.32,1.82
000545,000545,13.88%,13.36%,17.88%,2.13,1.33,0.05
000115,000115,1.81%,1.50%,1.46%,0.32,1.05,1.40
000816,000816,0.09%,0.11%,0.14%,6.62,8.07,9.31
001704,001704,27.09%,26.24%,25.64%,2.62,1.94,1.18
001211,001211,0.09%,0.10%,0.15%,6.95,8.71,9.75
000953,000953,6.46%,10.48%,11.76%,2.95,0.96,0.09
001641,001641,4.66%,4.91%,4.55%,2.42,2.16,1.63
001092,001092,22.81%,24.83%,22.82%,0.95,0.12,0.26
000683,000683,0.07%,0.08%,0.13%,3.54,5.39,6.74
001991,001991,0.10%,0.12%,0.16%,4.50,6.04,8.06
000379,000379,0.09%,0.10%,0.14%,6.66,8.66,9.85
000729,000729,21.92%,22.47%,22.59%,2.30,1.36,0.61
000396,000396,1.38%,1.23%,1.74%,0.22,1.31,1.44
000841,000841,21.47%,16.76%,14.00%,1.87,1.25,1.05
001753,001753,25.94%,23.59%,23.81%,1.40,0.91,0.31
001303,001303,14.36%,10.35%,12.79%,1.61,1.20,0.14
000142,000142,4.24%,3.41%,3.20%,1.70,1.35,1.17
000512,000512,20.51%,18.51%,16.95%,1.56,0.89,0.55
000457,000457,19.99%,22.41%,23.15%,2.25,1.30,0.31
000904,000904,21.61%,20.13%,18.84%,2.33,1.57,0.92
001616,001616,28.39%,27.52%,27.64%,2.44,1.84,0.82
001246,001246,1.54%,1.31%,1.30%,1.88,2.91,2.90
001495,001495,6.39%,7.45%,8.00%,2.54,1.00,0.57
001180,001180,21.79%,22.89%,22.84%,2.01,1.13,0.68
001929,001929,0.12%,0.15%,0.19%,4.22,5.42,6.97
000791,000791,0.10%,0.12%,0.15%,8.36,9.99,11.12
001883,001883,19.55%,19.88%,20.75%,2.76,1.92,1.10
001548,001548,18.48%,19.06%,19.28%,0.92,0.84,0.58
001118,001118,20.86%,20.51%,21.08%,2.18,1.37,0.56
000359,000359,0.09%,0.11%,0.15%,7.77,9.14,10.20
000709,000709,0.09%,0.11%,0.15%,6.72,8.63,9.86
001231,001231,5.51%,10.53%,9.07%,1.41,1.46,1.23
000973,000973,4.20%,4.27%,4.13%,2.37,1.87,1.52
001661,001661,2.27%,2.02%,1.91%,0.35,1.28,1.27
000420,000420,1.84%,1.43%,1.34%,0.18,1.40,2.10
000070,000070,2.44%,1.94%,1.79%,1.43,1.92,1.95
000135,000135,0.68%,0.49%,0.42%,1.69,3.14,4.87
001374,001374,0.11%,0.12%,0.16%,7.63,9.79,10.65
000836,000836,0.10%,0.12%,0.16%,11.81,11.51,12.29
001724,001724,16.41%,12.38%,10.36%,1.93,1.21,0.93
001909,001909,0.14%,0.13%,0.15%,8.07,10.03,11.66
000477,000477,20.28%,19.13%,20.57%,2.13,1.34,0.51
000924,000924,22.89%,23.27%,23.71%,2.79,2.06,1.34
001636,001636,10.81%,9.54%,8.92%,0.89,1.02,0.78
001266,001266,20.94%,24.63%,26.73%,2.23,1.40,0.63
001289,001289,2.51%,2.15%,2.17%,2.65,2.84,2.54
000861,000861,0.09%,0.10%,0.14%,9.00,10.44,10.80
001773,001773,4.04%,5.87%,6.83%,-0.66,1.16,0.91
001323,001323,24.41%,22.18%,23.10%,1.88,1.05,0.46
000162,000162,--,--,--,--,--,--
000532,000532,17.57%,20.03%,21.65%,2.62,1.76,1.22
000748,000748,0.10%,0.11%,0.15%,7.66,9.50,10.23
000898,000898,2.38%,1.84%,1.66%,0.42,1.00,1.42
001270,001270,26.52%,21.44%,18.29%,1.26,1.20,0.90
001620,001620,12.37%,10.70%,12.62%,-0.69,0.10,-0.08
000932,000932,5.80%,8.68%,7.15%,1.91,1.43,1.35
000031,000031,29.17%,27.68%,26.50%,2.15,1.72,0.81
000524,000524,23.50%,23.90%,22.93%,2.47,1.64,0.74
000174,000174,1.91%,1.77%,2.22%,1.14,2.77,1.29
001335,001335,5.84%,5.97%,5.42%,2.43,1.87,1.29
001765,001765,7.89%,7.97%,8.29%,2.35,1.29,0.84
000877,000877,18.77%,19.35%,19.39%,1.42,1.00,0.45
001948,001948,3.36%,2.76%,2.50%,0.73,1.32,1.45
000066,000066,14.09%,10.46%,8.68%,1.85,1.50,1.32
000436,000436,2.67%,2.80%,2.67%,1.62,2.34,2.06
001677,001677,19.95%,19.11%,20.64%,2.21,1.79,1.05
000965,000965,26.80%,28.85%,28.67%,2.11,1.53,0.73
001227,001227,23.10%,21.79%,23.16%,1.72,1.50,0.64
001732,001732,19.38%,18.73%,20.32%,1.81,0.73,0.33
001698,001698,0.11%,0.11%,0.17%,5.11,7.17,8.29
001362,001362,4.50%,6.37%,7.68%,3.17,1.70,0.98
000123,000123,3.35%,3.19%,3.22%,1.00,1.07,0.56
000089,000089,24.20%,17.29%,14.12%,-0.96,-0.63,-0.44
000573,000573,4.67%,4.02%,3.67%,2.78,2.48,1.84
001876,001876,10.47%,8.31%,7.38%,-0.18,0.25,-0.18
000764,000764,0.10%,0.12%,0.15%,5.37,7.82,9.41
000334,000334,10.77%,7.95%,6.53%,1.23,0.93,0.81
001175,001175,0.08%,0.10%,0.12%,9.21,10.24,11.07
001030,001030,20.84%,20.61%,21.62%,1.77,1.42,0.71
001933,001933,26.46%,23.14%,21.21%,2.19,1.29,0.74
000621,000621,0.10%,0.12%,0.16%,11.21,12.10,12.64
001899,001899,24.15%,26.05%,25.16%,0.75,0.57,-0.02
000271,000271,1.21%,1.18%,1.06%,1.43,2.75,3.14
001749,001749,20.25%,21.13%,--,2.98,1.86,--
001319,001319,28.25%,26.46%,25.16%,1.73,1.33,0.65
000158,000158,--,--,--,--,--,--
000508,000508,6.26%,4.93%,5.58%,1.24,1.05,0.78
002020,002020,22.29%,20.70%,19.77%,1.96,1.49,0.72
001088,001088,20.09%,20.35%,20.05%,1.89,1.04,0.23
001572,001572,3.28%,2.44%,2.28%,-0.02,0.63,1.67
001122,001122,5.47%,4.82%,4.32%,1.93,1.84,1.49
000699,000699,0.10%,0.12%,0.16%,5.37,8.09,9.59
000363,000363,23.12%,22.96%,22.26%,2.75,1.77,1.12
001821,001821,0.10%,0.10%,0.15%,11.20,12.91,12.32
000226,000226,3.36%,2.63%,2.72%,-0.35,0.37,-0.18
001964,001964,1.66%,1.56%,1.68%,1.32,2.00,1.78
001437,001437,25.36%,24.70%,23.53%,2.00,1.30,0.73
001067,001067,2.79%,3.26%,3.69%,3.28,2.47,1.53
000725,000725,0.10%,0.11%,0.15%,7.27,9.37,10.25
001837,001837,21.85%,20.42%,20.62%,1.88,0.93,0.52
001134,001134,0.08%,0.10%,0.16%,5.92,7.86,8.69
001564,001564,20.28%,20.97%,19.92%,1.59,0.91,0.47
001071,001071,25.88%,27.90%,28.98%,1.27,1.51,1.02
001421,001421,24.33%,25.22%,24.16%,1.69,0.93,0.27
000660,000660,0.00%,0.00%,0.19%,-2.62,-5.35,-5.04
001972,001972,20.55%,19.66%,19.98%,1.26,1.10,0.50
001708,001708,20.00%,18.80%,18.53%,1.32,0.77,0.36
001358,001358,6.81%,7.32%,6.58%,0.80,0.99,0.61
000119,000119,6.89%,9.44%,9.21%,2.48,1.66,1.02
000549,000549,25.94%,26.69%,25.58%,1.70,1.41,0.66
001499,001499,6.17%,6.14%,6.51%,3.23,2.57,1.69
001163,001163,22.90%,22.39%,23.08%,2.63,1.88,1.07
000322,000322,0.13%,0.14%,0.15%,6.63,8.76,10.84
000772,000772,18.13%,18.59%,20.21%,2.15,1.45,0.52
001860,001860,0.91%,0.89%,1.11%,1.68,3.20,2.93
000267,000267,3.37%,2.61%,2.20%,0.47,1.23,1.50
001925,001925,0.09%,0.10%,0.13%,6.97,7.86,8.95
001476,001476,25.98%,24.39%,24.85%,2.86,1.83,0.70
001026,001026,0.10%,0.12%,0.15%,7.92,9.37,10.71
000908,000908,0.09%,0.11%,0.15%,8.27,9.73,10.86
002036,002036,22.09%,21.44%,21.97%,2.16,1.50,1.08
001818,001818,3.45%,4.08%,4.15%,3.22,2.51,1.41
001727,001727,4.89%,4.50%,5.04%,3.38,2.32,1.25
000835,000835,19.00%,19.37%,19.80%,1.49,1.20,0.85
000566,000566,22.84%,20.86%,20.60%,2.04,1.47,1.09
000136,000136,23.14%,19.48%,18.58%,2.38,2.11,1.33
000423,000423,12.79%,18.25%,20.17%,1.83,1.19,0.75
000589,000589,19.16%,21.03%,21.79%,2.43,1.90,1.00
000073,000073,25.34%,25.49%,27.07%,2.33,1.56,0.70
001232,001232,0.13%,0.15%,0.17%,4.19,5.70,8.00
001398,001398,26.80%,25.61%,26.13%,2.12,1.75,0.92
001662,001662,21.82%,19.84%,17.90%,2.04,1.31,0.60
000970,000970,19.18%,21.06%,22.30%,1.97,1.43,0.87
000618,000618,0.10%,0.11%,0.14%,7.41,9.22,10.58
000248,000248,23.05%,22.71%,23.83%,1.82,1.62,1.16
001009,001009,22.90%,22.39%,23.15%,2.35,1.93,0.89
000161,000161,--,--,--,--,--,--
000531,000531,19.16%,21.61%,22.03%,1.83,0.96,0.57
001770,001770,7.83%,7.97%,8.27%,2.36,1.28,0.83
000862,000862,0.09%,0.10%,0.15%,5.15,7.19,8.47
001320,001320,18.60%,16.94%,16.09%,2.58,1.99,1.20
001635,001635,10.79%,9.54%,8.91%,0.90,1.06,0.83
000927,000927,21.69%,20.25%,20.68%,0.53,0.30,0.01
001265,001265,6.15%,10.47%,9.96%,1.93,0.95,0.57
000024,000024,1.76%,1.52%,1.42%,2.63,3.03,2.84
002019,002019,5.16%,4.67%,4.33%,1.78,1.71,1.32
001859,001859,0.84%,0.84%,1.08%,2.30,3.92,3.41
001336,001336,5.86%,5.15%,5.27%,2.47,2.27,1.42
000874,000874,0.09%,0.10%,0.15%,10.44,11.45,11.28
001766,001766,20.59%,20.83%,22.25%,2.75,2.23,1.59
000527,000527,20.26%,19.01%,19.47%,2.62,1.85,1.22
000198,000198,0.09%,0.10%,0.14%,5.19,7.39,8.67
000462,000462,25.51%,23.25%,24.50%,2.34,1.81,0.79
000032,000032,1.83%,1.61%,1.55%,0.70,2.06,2.06
001789,001789,8.22%,10.57%,12.87%,1.75,1.08,0.47
001273,001273,17.24%,18.38%,15.69%,1.76,0.38,0.14
000931,000931,1.07%,1.61%,1.74%,3.15,2.68,1.83
001623,001623,21.42%,18.10%,18.14%,2.11,1.70,1.10
000659,000659,0.00%,0.00%,0.14%,-3.88,-6.72,-8.64
000209,000209,26.61%,25.00%,24.51%,2.19,1.47,0.53
001048,001048,21.27%,19.27%,21.23%,1.67,1.24,0.38
001418,001418,6.83%,8.02%,7.33%,1.82,1.77,1.35
000120,000120,19.99%,18.82%,18.47%,2.49,1.63,0.93
000823,000823,23.67%,22.39%,21.93%,2.05,1.38,0.69
001731,001731,19.43%,18.82%,20.39%,1.77,0.71,0.31
000989,000989,23.15%,23.37%,22.85%,2.14,0.99,0.68
001361,001361,26.74%,28.18%,26.97%,1.22,0.90,0.29
000966,000966,24.01%,19.51%,19.26%,1.92,1.49,0.76
001224,001224,21.95%,20.81%,19.06%,2.70,2.38,1.76
000065,000065,4.53%,5.23%,5.63%,2.41,1.81,0.98
000435,000435,5.10%,5.97%,5.93%,0.90,0.63,0.17
001930,001930,0.12%,0.16%,0.19%,6.18,6.90,8.20
000788,000788,23.87%,24.49%,23.17%,2.07,1.47,0.83
000272,000272,1.22%,1.18%,1.09%,1.02,2.40,2.75
001033,001033,12.61%,9.42%,7.92%,0.69,0.61,0.60
001199,001199,1.53%,4.39%,6.56%,1.99,1.07,0.26
